Handle,Title,Description,Prices,Options
6-mukhi-rudraksha,6 Mukhi Rudraksha (Nepal),"The 6 Mukhi Rudraksha is known for its association with Lord Kartikeya and is believed to enhance willpower, confidence, and self-esteem. It supports emotional balance and helps overcome negative tendencies such as anger and jealousy. This rudraksha is also said to improve communication skills and foster harmonious relationships. Additionally, it is thought to aid in respiratory health and boost the immune system, making it beneficial for both mental and physical well-being.",1500.0,Default Title
7-mukhi-rudraksha,7 Mukhi Rudraksha,"The 7 Mukhi Rudraksha is linked to the divine energy of Goddess Mahalaxmi and is believed to bring wealth, prosperity, and abundance. It helps enhance creativity, focus, and decision-making abilities, supporting success in business and personal endeavors. This rudraksha is also said to promote emotional stability, reduce stress, and protect against negative influences. Additionally, it may aid in improving digestive health and overall vitality, making it a powerful tool for holistic well-being.",1499.0,Default Title
8-mukhi-rudraksha,8 Mukhi Rudraksha,"The 8 Mukhi Rudraksha is associated with Lord Ganesha and is believed to remove obstacles and bring success in various endeavors. It enhances self-confidence, wisdom, and decision-making skills, helping wearers navigate challenges effectively. This rudraksha is also said to promote emotional balance, reduce stress, and protect against negative energies. Additionally, it may support reproductive health and overall vitality, making it a valuable aid for personal growth and well-being.","6000.0, 1150.0","Nepal, Java"
8-mukhi-rudraksha-copy,9 Mukhi Rudraksha,"The 9 Mukhi Rudraksha is revered for its powerful spiritual and healing properties. It is believed to enhance confidence, leadership qualities, and decision-making abilities, making it ideal for those in positions of authority. This bead is associated with the energy of Goddess Durga, offering protection from negative influences and promoting mental clarity. Wearing the 9 Mukhi Rudraksha can help balance emotions, reduce stress, and foster a sense of inner strength and courage. It is a valuable tool for personal growth and spiritual advancement.","5500.0, 900.0","Nepal, Java"
amethyst-bracelet-copy,Clear Quartz Bracelets,"Clear Quartz bracelets are prized for their powerful energy amplification and healing properties. Wearing Clear Quartz can enhance clarity of thought, boost concentration, and support emotional stability. Known as a master healer, it helps balance and revitalize physical, mental, and spiritual planes. Its versatility makes it an excellent companion for meditation and energy work, while its clear, radiant appearance adds elegance to any outfit.",2400.0,Default Title
black-tourmaline-bracelets,Black Tourmaline Bracelets,"Black Tourmaline is highly valued for its powerful protective qualities. It is known to shield against negative energies and electromagnetic radiation, creating a protective barrier around the wearer. This stone also promotes grounding, helping to stabilize emotions and enhance focus. Wearing Black Tourmaline bracelets can support stress relief and foster a sense of security and balance, making it an essential accessory for maintaining mental clarity and emotional resilience in challenging environments.",1800.0,Default Title
cat-eye-bracelets,Cat Eye Bracelets,"Cat Eye bracelets are known for their protective and grounding qualities. Wearing a Cat Eye bracelet can help deflect negative energies and enhance focus, promoting mental clarity and confidence. This stone is believed to boost intuition and insight, aiding decision-making and personal growth. Its distinctive chatoyant sheen adds a unique, stylish touch, making it both a powerful and attractive accessory.",2300.0,Default Title
cats-eye,Cat's Eye,"Cat's Eye gemstone is renowned for its ability to enhance focus and mental clarity, making it a valuable aid for decision-making and problem-solving. It is believed to protect against negative energies and bring good fortune, particularly in financial matters. Additionally, Cat's Eye is thought to promote emotional balance and reduce stress, supporting overall well-being and resilience in challenging situations.","1200.0, 1600.0, 2000.0, 2400.0, 2800.0, 3200.0, 3600.0, 4000.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
emerald-panna-copy,Opal (fire),"Opal is revered for its spiritual benefits, known to enhance creativity, inspiration, and emotional healing. It is believed to amplify intuition and deepen spiritual awareness, helping individuals connect with their inner selves and higher realms. Opal encourages self-expression and originality while promoting emotional balance and releasing past emotional wounds. This gemstone also supports transformation and spiritual growth by aligning one with universal energies, making it a valuable aid for meditation and manifesting positive intentions.","15000.0, 21250.0, 26250.0, 31250.0, 36250.0, 41250.0, 46250.0, 51250.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
firoza,Firoza,"Firoza, also known as turquoise, is valued for its calming energy and protective qualities. This gemstone is believed to promote emotional balance, enhance communication, and foster creativity. Its soothing blue-green hues are associated with tranquility and spiritual grounding, making it a favored choice for those seeking mental clarity and stress relief. Additionally. Firoza is often used as a talisman to guard against negative influences and attract positive energy.","2000.0, 4000.0, 6000.0, 8000.0, 10000.0","10, 20, 30, 40, 50"
ganesh-mukhi-rudraksha,Ganesh Mukhi Rudraksha,"The Ganesh Mukhi Rudraksha, characterized by its unique five-faced structure, is revered for invoking the blessings of Lord Ganesha. It is believed to remove obstacles, enhance wisdom, and promote success in new ventures. Wearing this bead supports mental clarity, creativity, and problem-solving abilities. It also fosters confidence and calmness, helping to overcome stress and anxiety. The Ganesh Mukhi Rudraksha is ideal for those seeking spiritual growth, protection, and a smooth path in personal and professional life.",3000.0,Default Title
gauri-shankar-rudraksha,Gauri Shankar Rudraksha,"The Gauri Shankar Rudraksha, formed by the natural fusion of two Rudraksha beads, symbolizes the divine union of Lord Shiva and Goddess Parvati. It is renowned for strengthening relationships, promoting harmony, and enhancing mutual understanding between partners. This bead is believed to bring emotional balance, peace, and spiritual growth. Wearing the Gauri Shankar Rudraksha can help resolve conflicts, foster love, and support overall well-being. It is especially beneficial for those seeking to improve marital bonds or deepen personal connections while advancing on their spiritual path.",9500.0,Default Title
gomed,Gomed,"Gomed, also known as Hessonite garnet, is valued for its reputed ability to enhance mental clarity and emotional balance. It is believed to boost confidence, reduce anxiety, and promote positive energy, making it beneficial for decision-making and personal growth. Traditionally, Gomed is associated with improving focus and helping to overcome obstacles, supporting overall well-being and resilience.","900.0, 1600.0, 2000.0, 2400.0, 2800.0, 3200.0, 3600.0, 4000.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
hematite,Hematite Bracelets,"Hematite is prized for its grounding and balancing properties. It is believed to enhance focus and concentration while promoting mental clarity. Wearing Hematite bracelets can help reduce stress and anxiety by stabilizing emotions and fostering a sense of calm. Additionally, Hematite is thought to support physical vitality and circulation, making it a valuable accessory for those seeking both emotional and physical well-being.","1900.0, 1800.0","golden, gray"
lapis-lazuli,Lapis Lazuli,"Lapis Lazuli is prized for its deep blue color and historical significance. This gemstone is believed to promote mental clarity, enhance creativity, and support emotional healing. Its rich composition makes it a symbol of wisdom and truth, often used to foster self-awareness and improve communication. Ideal for those seeking balance and insight, Lapis Lazuli offers both aesthetic appeal and meaningful benefits.","1499.0, 1699.0, 1999.0","7-10, 11-14, 15-18"
moonstone,Moonstone,"Moonstone is prized for its ability to enhance intuition and emotional insight, helping individuals connect with their inner selves. It is known to promote calmness and balance, easing stress and stabilizing emotions. Additionally, Moonstone supports new beginnings and personal growth, making it a powerful stone for those seeking transformation and clarity in life. Its gentle energy also aids in improving sleep quality and fostering a sense of peace.","2100.0, 2400.0, 2700.0, 2900.0, 3299.0, 3599.0","7.25, 8.25, 9.25, 10.25, 11.25, 12.25"
opal-copy,yellow sapphire,"Yellow sapphire is valued for its reputed ability to enhance wisdom, prosperity, and mental clarity. It is believed to promote confidence and optimism, supporting decision-making and personal growth. Often associated with attracting wealth and success, this gemstone is also thought to bring protection and good fortune to its wearer. Its vibrant hue adds a touch of elegance, making it both a meaningful and attractive choice for jewelry.","15000.0, 21200.0, 26250.0, 31250.0, 36250.0, 41250.0, 46250.0, 51250.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
pearl,White Pearl,"White pearls are prized for their timeless elegance and natural beauty. They symbolize purity and sophistication, making them a classic choice for jewelry. Their smooth, lustrous surface enhances any outfit with a subtle glow. Additionally, white pearls are versatile, complementing both casual and formal styles. Their durability ensures lasting wear, while their natural origin adds unique character to each piece. These qualities make white pearls a valuable and enduring accessory.","450.0, 600.0, 750.0, 900.0, 1050.0, 1200.0, 1350.0, 1500.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
pyrite,Pyrite Bracelets,"Pyrite, often known as ""fool's gold,"" offers several benefits beyond its striking metallic luster. It is valued for its ability to enhance mental clarity and focus, supporting decision-making and problem-solving skills. Pyrite is also believed to promote physical vitality and boost energy levels, making it a useful stone for overcoming fatigue. Additionally, it serves as a protective shield against negative energies, fostering a sense of security and confidence. Its grounding properties help balance emotions and encourage a positive outlook, making pyrite a versatile and powerful mineral for both mental and emotional well-being.",1500.0,Default Title
pyrite-copy,Amethyst Bracelet,"Amethyst bracelets are valued for their calming and protective properties. Wearing an amethyst bracelet can help reduce stress and anxiety, promoting mental clarity and emotional balance. Known for its spiritual benefits, amethyst supports meditation and enhances intuition. Additionally, its natural beauty makes it a versatile accessory that complements any style while offering a sense of tranquility throughout the day.",2200.0,Default Title
rose-quartz-bracelets,Rose Quartz Bracelets,"Rose Quartz is renowned for its calming and soothing properties, often associated with emotional healing and promoting self-love. Wearing Rose Quartz bracelets can help reduce stress and anxiety, fostering a sense of peace and balance. This crystal is also believed to enhance compassion and strengthen relationships by encouraging forgiveness and empathy. Its gentle energy supports emotional clarity, making it a valuable accessory for those seeking harmony and emotional well-being.",1500.0,Default Title
ruby,Ruby,"Ruby is revered for its powerful spiritual benefits, often symbolizing vitality, passion, and protection. It is believed to stimulate the heart chakra, enhancing emotional balance and encouraging self-confidence. This gemstone is said to foster courage, helping to overcome fears and negative energies. Ruby also promotes clarity of mind and inspires motivation, making it a valuable ally for personal growth and spiritual awakening. Its vibrant energy is thought to attract prosperity and abundance, supporting a harmonious and empowered life journey.","4875.0, 6375.0, 7875.0, 9375.0, 10875.0, 12375.0, 13875.0, 15375.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
ruby-copy,Blue Sapphire,"Sapphire is revered for its profound spiritual benefits, often symbolizing wisdom, purity, and divine favor. It is believed to enhance mental clarity, focus, and spiritual insight, helping individuals connect with higher consciousness. This gemstone is also thought to promote inner peace, calm the mind, and protect against negative energies. By fostering truth and sincerity, sapphire supports personal growth and spiritual awakening, making it a powerful tool for meditation and self-reflection.","9750.0, 12750.0, 15750.0, 18750.0, 21750.0, 24750.0, 27750.0, 30750.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
ruby-copy-1,Emerald (panna),"Emerald, known as Panna in traditional practices, is revered for its spiritual benefits. It is believed to enhance mental clarity, promote emotional balance, and foster compassion. Wearing emerald can aid in opening the heart chakra, encouraging love and harmony in relationships. It is also thought to support intuition and spiritual growth, making it a valuable stone for meditation and self-awareness. This gemstone’s calming energy helps reduce stress and anxiety, contributing to overall well-being. Emerald is a powerful ally for those seeking deeper connection and inner peace.","6000.0, 8000.0, 10000.0, 12000.0, 14000.0, 16000.0, 18000.0, 20000.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
seven-chakras-bracelets,Seven chakras Bracelets,"Seven Chakras Bracelets are designed to balance and align the body's energy centers, promoting overall well-being. Each bracelet corresponds to one of the seven chakras, helping to enhance physical vitality, emotional stability, and mental clarity. Wearing these bracelets can support stress reduction, improve focus, and foster a sense of harmony and inner peace. Crafted with intention, they serve as a daily reminder to maintain energetic balance and holistic health. 
 Seven Chakras Bracelets are thoughtfully charged to enhance their natural energy-balancing properties. Each bracelet targets one of the seven chakras, promoting alignment and harmony within the body’s energy system. This charging process amplifies their ability to support physical vitality, emotional stability, and mental clarity. Wearing these bracelets can aid in stress reduction, improve focus, and encourage a deeper sense of inner peace and well-being. They serve as a powerful tool for maintaining energetic balance and holistic health.",1200.0,Default Title
white-pearl-copy,Red Coral,"Red Coral is valued for its unique ability to enhance vitality and promote emotional balance. Known to support circulation and boost energy levels, it can help improve overall physical strength. Additionally, Red Coral is believed to foster confidence and courage, aiding in overcoming challenges. Its protective qualities make it a favored choice for those seeking to shield themselves from negative influences while encouraging positive transformation.","2100.0, 2800.0, 3500.0, 4200.0, 4900.0, 5600.0, 6300.0, 7000.0","3.25, 4.25, 5.25, 6.25, 7.25, 8.25, 9.25, 10.25"
